OTU	SMPL0	SMPL1	SMPL2	SMPL3	SMPL4	SMPL5	SMPL6	SMPL7	SMPL8	SMPL9	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19	SMPL20	SMPL21	SMPL22	SMPL23	SMPL24	SMPL25	SMPL26	SMPL27	SMPL28	SMPL29	SMPL30	SMPL31	SMPL32	SMPL33	SMPL34	SMPL35	SMPL36	SMPL37	SMPL38	SMPL39	SMPL40	SMPL41	SMPL42	SMPL43	SMPL44	SMPL45	SMPL46	SMPL47	SMPL48	SMPL49	SMPL50	SMPL51	SMPL52	SMPL53	SMPL54	SMPL55	SMPL56	SMPL57	SMPL58	SMPL59	SMPL60	SMPL61	SMPL62	SMPL63	SMPL64	SMPL65	SMPL66	SMPL67	SMPL68	SMPL69	SMPL70	SMPL71	SMPL72	SMPL73	SMPL74	SMPL75	SMPL76	SMPL77	SMPL78	SMPL79	SMPL80	SMPL81	SMPL82	SMPL83	SMPL84	SMPL85	SMPL86	SMPL87	SMPL88	SMPL89	SMPL90	SMPL91	SMPL92	SMPL93	SMPL94	SMPL95	SMPL96	SMPL97	SMPL98	SMPL99	SMPL100	SMPL101	SMPL102	SMPL103	SMPL104	SMPL105	SMPL106	SMPL107
OTU_1	76739	11674	136	86	49735	834	4	113	234	54	105116	138	10865	500	3513	83	3955	972	144	66	8	172	5736	35	90261	58117	200	152	206	8	40	328	27	79	107	76	56	540	35	50	262	2306	1380	36	18	2035	65041	23	70	529	811	3313	559	53	1336	105927	87	10771	30	572	369	180	12262	413	4	18	91	29	91335	25	58	61	909	7	7782	40	122	117524	47	554	77701	91651	112882	3782	136	4691	1977	137	89411	109677	81	517	5819	48	25421	1856	159182	1891	78	147	12	125	798	100	356	503	44	1052
OTU_2	928	134169	13	50	1814	45624	46371	64232	0	9	13	928	61771	76131	0	0	1	49349	2592	165	49	806	0	0	13	15	801	90584	2	3	125	44397	26137	125	12	15	69	2226	56207	0	93	1	0	0	140093	1269	14213	74466	629	14	37395	30	141	0	1978	23	0	1	13	0	0	0	3	0	0	0	231	0	7634	1	0	0	13219	53033	1661	79	0	10	508	1550	45	22	52	1	5997	21	2101	1665	9	1558	12	7	0	20	1237	156	21	12	65897	91735	74821	81586	20077	0	25808	278	82028	872
OTU_3	4	8	1471	6432	1042	2554	0	63	164	2614	956	2	161	6685	9	31	0	9974	2	0	5	43	6	10680	1514	5600	1	10	51830	27855	48888	39359	29593	20425	59393	50964	46932	1188	4	2	37	0	16	3	2	16	55	2	1	2	4	30	41664	187	0	2036	60392	16	0	76	24	0	13	0	0	105	292	25	2	0	2	0	0	6	91	18	1	125	0	399	3	8	21	0	53	29	73	6	14	223	141	7	0	0	48	12	9	57	121	48	0	2	32136	59	23265	318	31	1519
OTU_4	86	1	92	15990	58	69	0	207	485	163	837	447	220	0	457	6760	55	6	3	152	99	1	27	76	124	138	10289	9	192	88	1481	0	0	301	6	3	1	0	0	5010	10013	26176	53824	205	0	38	33	560	0	0	1	113	122	2070	0	436	7	283	96	495	7012	368	151	907	0	7322	607	2426	17	1875	20874	21729	0	0	10	11533	739	488	1396	46318	17	7	492	78	13	317	6981	33745	55	134	3592	3548	82	3652	29	17	122	2834	29	158	152	5	8	4535	1	3256	0	26
OTU_5	0	0	0	0	13	2	0	11	0	0	105	51394	7	14	0	0	0	0	34458	242	2	1	2	1	1	12	0	0	1	0	0	58	1	1	0	0	0	2	79	0	3462	5537	1	4	0	2	2	29	48593	45113	18322	11	0	1	21916	3	1	4	0	0	1	1	36	0	0	0	508	0	5	0	1	0	25151	0	35741	40	1	0	0	1	15	0	13	0	32810	0	0	0	31	2	0	0	4	121	1	2	4	5	4	0	251	5	0	3	0	0	18	1
OTU_6	0	0	37513	8	0	3	0	0	0	33861	7	2	0	0	0	0	0	8	3	0	1	82542	3	6	0	6	0	7	0	0	311	78	415	2	216	3146	2166	29829	0	0	0	0	0	1	0	0	0	0	0	0	7	12	0	0	0	0	0	1	0	0	0	0	1	0	0	0	22	0	0	0	2	0	0	0	16	0	0	0	0	0	0	0	0	0	1	0	0	0	3	2	0	14	0	20166	0	0	1	1	0	0	0	0	0	0	0	0	0	2881
OTU_7	0	0	0	0	0	0	0	0	430	0	0	0	0	0	0	3	0	0	0	23042	0	0	0	0	0	0	783	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	52	163949	1	0	1	3	2	6	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	18	8325	89	0	0	0	52	0	0	0	952	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	19	0	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	174732	0	0	2	1	4	6	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	13	7832	76	0	0	0	78	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0
OTU_9	0	221	644	0	1425	1316	98	2788	0	260	2200	145	0	0	34	1	0	246	45	118	8	11	0	0	18085	14	0	167	66	0	284	368	566	24	9	8	86	95	0	44	0	0	0	0	17	0	94	3	44	403	129	67053	5232	0	1	1385	7	0	15	27	11	0	10	0	0	941	184	4341	5179	0	215	0	4	0	101	22	0	86	2	0	70	59	36	0	100	8	0	0	48	893	76	0	0	0	349	142	602	21	33	810	0	14	0	3	20	436	0	1
OTU_10	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	396	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40474	69189	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1888	0	0	0	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	906	0	0	0	0	0	0	0	0	0	0
