#SampleID	fastqFile
SMPL0	SRR6308449_L001_R1_001.fastq,SRR6308449_L001_R2_001.fastq
SMPL1	SRR6308450_L001_R1_001.fastq,SRR6308450_L001_R2_001.fastq
SMPL2	SRR6308451_L001_R1_001.fastq,SRR6308451_L001_R2_001.fastq
SMPL3	SRR6308452_L001_R1_001.fastq,SRR6308452_L001_R2_001.fastq
SMPL4	SRR6308453_L001_R1_001.fastq,SRR6308453_L001_R2_001.fastq
SMPL5	SRR6308454_L001_R1_001.fastq,SRR6308454_L001_R2_001.fastq
SMPL6	SRR6308455_L001_R1_001.fastq,SRR6308455_L001_R2_001.fastq
SMPL7	SRR6308456_L001_R1_001.fastq,SRR6308456_L001_R2_001.fastq
SMPL8	SRR6308457_L001_R1_001.fastq,SRR6308457_L001_R2_001.fastq
SMPL9	SRR6308458_L001_R1_001.fastq,SRR6308458_L001_R2_001.fastq
SMPL10	SRR6308459_L001_R1_001.fastq,SRR6308459_L001_R2_001.fastq
SMPL11	SRR6308460_L001_R1_001.fastq,SRR6308460_L001_R2_001.fastq
SMPL12	SRR6308461_L001_R1_001.fastq,SRR6308461_L001_R2_001.fastq
SMPL13	SRR6308462_L001_R1_001.fastq,SRR6308462_L001_R2_001.fastq
SMPL14	SRR6308463_L001_R1_001.fastq,SRR6308463_L001_R2_001.fastq
SMPL15	SRR6308464_L001_R1_001.fastq,SRR6308464_L001_R2_001.fastq
SMPL16	SRR6308465_L001_R1_001.fastq,SRR6308465_L001_R2_001.fastq
SMPL17	SRR6308466_L001_R1_001.fastq,SRR6308466_L001_R2_001.fastq
SMPL18	SRR6308467_L001_R1_001.fastq,SRR6308467_L001_R2_001.fastq
SMPL19	SRR6308468_L001_R1_001.fastq,SRR6308468_L001_R2_001.fastq
SMPL20	SRR6308469_L001_R1_001.fastq,SRR6308469_L001_R2_001.fastq
SMPL21	SRR6308470_L001_R1_001.fastq,SRR6308470_L001_R2_001.fastq
SMPL22	SRR6308471_L001_R1_001.fastq,SRR6308471_L001_R2_001.fastq
SMPL23	SRR6308472_L001_R1_001.fastq,SRR6308472_L001_R2_001.fastq
SMPL24	SRR6308473_L001_R1_001.fastq,SRR6308473_L001_R2_001.fastq
SMPL25	SRR6308474_L001_R1_001.fastq,SRR6308474_L001_R2_001.fastq
SMPL26	SRR6308475_L001_R1_001.fastq,SRR6308475_L001_R2_001.fastq
SMPL27	SRR6308476_L001_R1_001.fastq,SRR6308476_L001_R2_001.fastq
SMPL28	SRR6308477_L001_R1_001.fastq,SRR6308477_L001_R2_001.fastq
SMPL29	SRR6308478_L001_R1_001.fastq,SRR6308478_L001_R2_001.fastq
SMPL30	SRR6308479_L001_R1_001.fastq,SRR6308479_L001_R2_001.fastq
SMPL31	SRR6308480_L001_R1_001.fastq,SRR6308480_L001_R2_001.fastq
SMPL32	SRR6308481_L001_R1_001.fastq,SRR6308481_L001_R2_001.fastq
SMPL33	SRR6308482_L001_R1_001.fastq,SRR6308482_L001_R2_001.fastq
SMPL34	SRR6308483_L001_R1_001.fastq,SRR6308483_L001_R2_001.fastq
SMPL35	SRR6308484_L001_R1_001.fastq,SRR6308484_L001_R2_001.fastq
SMPL36	SRR6308485_L001_R1_001.fastq,SRR6308485_L001_R2_001.fastq
SMPL37	SRR6308486_L001_R1_001.fastq,SRR6308486_L001_R2_001.fastq
SMPL38	SRR6308487_L001_R1_001.fastq,SRR6308487_L001_R2_001.fastq
SMPL39	SRR6308488_L001_R1_001.fastq,SRR6308488_L001_R2_001.fastq
SMPL40	SRR6308489_L001_R1_001.fastq,SRR6308489_L001_R2_001.fastq
SMPL41	SRR6308490_L001_R1_001.fastq,SRR6308490_L001_R2_001.fastq
SMPL42	SRR6308491_L001_R1_001.fastq,SRR6308491_L001_R2_001.fastq
SMPL43	SRR6308492_L001_R1_001.fastq,SRR6308492_L001_R2_001.fastq
SMPL44	SRR6308493_L001_R1_001.fastq,SRR6308493_L001_R2_001.fastq
SMPL45	SRR6308494_L001_R1_001.fastq,SRR6308494_L001_R2_001.fastq
SMPL46	SRR6308495_L001_R1_001.fastq,SRR6308495_L001_R2_001.fastq
SMPL47	SRR6308496_L001_R1_001.fastq,SRR6308496_L001_R2_001.fastq
SMPL48	SRR6308497_L001_R1_001.fastq,SRR6308497_L001_R2_001.fastq
SMPL49	SRR6308498_L001_R1_001.fastq,SRR6308498_L001_R2_001.fastq
SMPL50	SRR6308499_L001_R1_001.fastq,SRR6308499_L001_R2_001.fastq
SMPL51	SRR6308500_L001_R1_001.fastq,SRR6308500_L001_R2_001.fastq
SMPL52	SRR6308501_L001_R1_001.fastq,SRR6308501_L001_R2_001.fastq
SMPL53	SRR6308502_L001_R1_001.fastq,SRR6308502_L001_R2_001.fastq
SMPL54	SRR6308503_L001_R1_001.fastq,SRR6308503_L001_R2_001.fastq
SMPL55	SRR6308504_L001_R1_001.fastq,SRR6308504_L001_R2_001.fastq
SMPL56	SRR6308505_L001_R1_001.fastq,SRR6308505_L001_R2_001.fastq
SMPL57	SRR6308506_L001_R1_001.fastq,SRR6308506_L001_R2_001.fastq
SMPL58	SRR6308507_L001_R1_001.fastq,SRR6308507_L001_R2_001.fastq
SMPL59	SRR6308508_L001_R1_001.fastq,SRR6308508_L001_R2_001.fastq
SMPL60	SRR6308509_L001_R1_001.fastq,SRR6308509_L001_R2_001.fastq
SMPL61	SRR6308510_L001_R1_001.fastq,SRR6308510_L001_R2_001.fastq
SMPL62	SRR6308511_L001_R1_001.fastq,SRR6308511_L001_R2_001.fastq
SMPL63	SRR6308512_L001_R1_001.fastq,SRR6308512_L001_R2_001.fastq
SMPL64	SRR6308513_L001_R1_001.fastq,SRR6308513_L001_R2_001.fastq
SMPL65	SRR6308514_L001_R1_001.fastq,SRR6308514_L001_R2_001.fastq
SMPL66	SRR6308515_L001_R1_001.fastq,SRR6308515_L001_R2_001.fastq
SMPL67	SRR6308516_L001_R1_001.fastq,SRR6308516_L001_R2_001.fastq
SMPL68	SRR6308517_L001_R1_001.fastq,SRR6308517_L001_R2_001.fastq
SMPL69	SRR6308518_L001_R1_001.fastq,SRR6308518_L001_R2_001.fastq
SMPL70	SRR6308519_L001_R1_001.fastq,SRR6308519_L001_R2_001.fastq
SMPL71	SRR6308520_L001_R1_001.fastq,SRR6308520_L001_R2_001.fastq
SMPL72	SRR6308521_L001_R1_001.fastq,SRR6308521_L001_R2_001.fastq
SMPL73	SRR6308522_L001_R1_001.fastq,SRR6308522_L001_R2_001.fastq
SMPL74	SRR6308523_L001_R1_001.fastq,SRR6308523_L001_R2_001.fastq
SMPL75	SRR6308524_L001_R1_001.fastq,SRR6308524_L001_R2_001.fastq
SMPL76	SRR6308525_L001_R1_001.fastq,SRR6308525_L001_R2_001.fastq
SMPL77	SRR6308526_L001_R1_001.fastq,SRR6308526_L001_R2_001.fastq
SMPL78	SRR6308527_L001_R1_001.fastq,SRR6308527_L001_R2_001.fastq
SMPL79	SRR6308528_L001_R1_001.fastq,SRR6308528_L001_R2_001.fastq
SMPL80	SRR6308529_L001_R1_001.fastq,SRR6308529_L001_R2_001.fastq
SMPL81	SRR6308530_L001_R1_001.fastq,SRR6308530_L001_R2_001.fastq
SMPL82	SRR6308531_L001_R1_001.fastq,SRR6308531_L001_R2_001.fastq
SMPL83	SRR6308532_L001_R1_001.fastq,SRR6308532_L001_R2_001.fastq
SMPL84	SRR6308533_L001_R1_001.fastq,SRR6308533_L001_R2_001.fastq
SMPL85	SRR6308534_L001_R1_001.fastq,SRR6308534_L001_R2_001.fastq
SMPL86	SRR6308535_L001_R1_001.fastq,SRR6308535_L001_R2_001.fastq
SMPL87	SRR6308536_L001_R1_001.fastq,SRR6308536_L001_R2_001.fastq
SMPL88	SRR6308537_L001_R1_001.fastq,SRR6308537_L001_R2_001.fastq
SMPL89	SRR6308538_L001_R1_001.fastq,SRR6308538_L001_R2_001.fastq
SMPL90	SRR6308539_L001_R1_001.fastq,SRR6308539_L001_R2_001.fastq
SMPL91	SRR6308540_L001_R1_001.fastq,SRR6308540_L001_R2_001.fastq
SMPL92	SRR6308541_L001_R1_001.fastq,SRR6308541_L001_R2_001.fastq
SMPL93	SRR6308542_L001_R1_001.fastq,SRR6308542_L001_R2_001.fastq
SMPL94	SRR6308543_L001_R1_001.fastq,SRR6308543_L001_R2_001.fastq
SMPL95	SRR6308544_L001_R1_001.fastq,SRR6308544_L001_R2_001.fastq
